# HOTD2 global data labels — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
#
# Regenerate:  ./ghidra/run.sh export-annotations
# Replay:      ./ghidra/run.sh apply-annotations
#
# Windows TEB fields and resource labels are excluded: Ghidra creates those itself.
#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

004330c4	g_class33_selector_targets	jump targets for spawn class 0x33
004330f8	g_class33_selector_index	byte index into the targets; valid selectors 1-11 and 99
0048d9f0	CivilianHookStartFall
0048da20	CivilianHookFallStep
0048da90	CivilianHookRideChildren
0048dab0	CivilianHookRideChildrenStep
0048db90	CivilianHookLaunchUp
0048dbd0	CivilianHookLaunch
0048e32c	g_class26_states	8 entries; entries 6 and 7 share a target
004c43a4	g_camera_track_key_scale	10.0f. RegisterForCameraTracking's sort key is the distance from the camera eye times this, as an int.
004c479c	g_cam_path_file_id
004c4cd0	g_approach_ring_defaults	Four {inner, mid, outer} f32 ring sets copied into g_enemy_approach_rings by the scene reset. 25/38/51 for most characters, 37/48/51 for set 2. No stage script uses evt 0x0E, so these are what every encounter runs on.
004c4d18	g_bone_damage_zone	u8[16], bone -> destroyed-zone bit index for obj+0x1318. char_adv00: bone 2 (head) -> 0, bones 3-5 (right arm) -> 1, bones 6-8 (left arm) -> 2, all others 0xFF -- the shift is masked with 0x1F so those land harmlessly on bit 31.
004c4d28	g_actor_radius_by_char	One float per character type, copied to obj+0x124 by EnemyZombieInit, EnemyThrowerInit, CivilianInit (0x0048A6DC), ScriptedHumanoidInit (0x004841F7), OneHitTargetInit (0x00448F76) and the class-0x21 handler (0x00451780) -- six classes, so obj+0x124 is ONE field with one meaning across every class that sets it, and is not polymorphic. Index 7 is 10.0 and indices 1..6 are 15.0. Paired with the separate dword obj+0x128, a per-class authored constant: 1.0 for a class-0x10 civilian (CivilianInit 0x0048A433 loads 0x3f800000 into EDI, 0x0048A6D6 stores it), 3.5 for the zombie (CivilianInit 0x0048A7DF writes 0x40600000 onto each child it builds), and 5.0 for thrower type 0x16 or 4.0 for types 0x17-0x19. The two are written by adjacent instructions in one basic block, which is the proof they are two fields and not an overlay. obj+0x128 is also the radius class 0x10's op 0x16 ramp walks.
004c7160	g_pBoneEffectSlots	per character: u16[bone][6], the asset slot the bone is redrawn with after each successive hit
004c8350	g_pBoneDamage	per character: u16[bone][6], damage for each successive hit on that bone. char_adv00's head runs 100/120/140/160
004c84a8	g_bone_reaction_group	u16[16], bone -> hit-reaction group. Eight groups partitioning the body: 1 head, 2 torso, 3 right arm (bones 3-5), 4 left arm (6-8), 5 pelvis (9), 6 right leg (10-12), 7 left leg (13-15).
004d032c	g_character_part_tables	char type -> per-bone {slot, ...} overrides, stride 0x14
